date,SACTMIN,SPOSTMIN
1/1/2015,27.5,26.1294964028777
1/1/2016,11.25,27.151315789473685
1/1/2017,16.666666666666668,20.605504587155963
1/1/2018,11.5,3.1724137931034484
1/1/2019,29.166666666666668,-73.64189189189189
1/1/2020,38.0,53.515625
1/1/2021,15.0,9.196581196581196
1/10/2015,11.333333333333334,29.01015228426396
1/10/2016,28.25,26.09375
1/10/2017,6.5,34.573170731707314
1/10/2018,26.5,4.8359375
1/10/2019,8.6,-168.30578512396696
1/10/2020,57.5,55.28421052631579
1/10/2021,5.75,-7.768421052631579
1/11/2015,7.125,20.27777777777778
1/11/2016,17.0,-264.23809523809524
1/11/2017,16.857142857142858,29.615384615384617
1/11/2018,14.666666666666666,19.563636363636363
1/11/2019,43.5,-132.20437956204378
1/11/2020,11.0,79.31192660550458
1/11/2021,10.222222222222221,11.923076923076923
1/12/2015,,10.25
1/12/2016,12.833333333333334,29.352941176470587
1/12/2017,6.0,28.072289156626507
1/12/2018,12.5,-65.1118881118881
1/12/2019,14.333333333333334,-131.56643356643357
1/12/2020,20.2,35.604395604395606
1/12/2021,8.666666666666666,11.162790697674419
1/13/2015,12.5,20.65
1/13/2016,8.333333333333334,22.61111111111111
1/13/2017,4.0,34.79047619047619
1/13/2018,24.5,37.01307189542484
1/13/2019,15.5,-110.90625
1/13/2020,28.75,-22.208695652173912
1/13/2021,1.6666666666666667,8.369565217391305
1/14/2015,10.2,9.936170212765957
1/14/2016,14.666666666666666,23.908045977011493
1/14/2017,35.0,42.54385964912281
1/14/2018,6.5,15.586666666666666
1/14/2019,24.0,-92.648
1/14/2020,13.25,27.93258426966292
1/14/2021,6.0,11.304347826086957
1/15/2015,10.0,18.83448275862069
1/15/2016,5.333333333333333,13.973214285714286
1/15/2017,47.0,-165.31132075471697
1/15/2018,33.833333333333336,4.534351145038168
1/15/2019,11.75,-171.04761904761904
1/15/2020,21.285714285714285,26.76068376068376
1/15/2021,10.8,16.818181818181817
1/16/2015,36.2,36.92513368983957
1/16/2016,41.0,-4.921259842519685
1/16/2017,21.666666666666668,31.49532710280374
1/16/2018,,-102.03478260869565
1/16/2019,7.0,-67.08888888888889
1/16/2020,30.5,-21.904255319148938
1/16/2021,12.0,16.583333333333332
1/17/2015,20.375,40.751173708920184
1/17/2016,12.75,26.10091743119266
1/17/2017,26.0,31.204819277108435
1/17/2018,14.714285714285714,14.828125
1/17/2019,25.75,-40.06993006993007
1/17/2020,25.666666666666668,39.50819672131148
1/17/2021,13.0,26.38888888888889
1/18/2015,19.285714285714285,32.9
1/18/2016,18.5,26.991869918699187
1/18/2017,22.666666666666668,4.922330097087379
1/18/2018,12.0,1.9722222222222223
1/18/2019,18.0,-179.46376811594203
1/18/2020,42.0,51.75213675213675
1/18/2021,8.4,11.631578947368421
1/19/2015,14.0,28.196428571428573
1/19/2016,23.0,19.038834951456312
1/19/2017,,22.58823529411765
1/19/2018,21.0,-63.27350427350427
1/19/2019,24.2,-41.19444444444444
1/19/2020,19.666666666666668,56.3235294117647
1/19/2021,8.6,-43.59550561797753
1/2/2015,31.583333333333332,38.16129032258065
1/2/2016,23.625,7.944444444444445
1/2/2017,9.0,15.93859649122807
1/2/2018,24.666666666666668,5.8618421052631575
1/2/2019,26.5,-47.92413793103448
1/2/2020,,67.86607142857143
1/2/2021,15.6,19.698275862068964
1/20/2015,5.0,33.666666666666664
1/20/2016,13.5,-29.03846153846154
1/20/2017,21.5,-17.0
1/20/2018,13.0,23.681528662420384
1/20/2019,22.4,-120.60144927536231
1/20/2020,9.0,-18.357723577235774
1/20/2021,2.0,-3.5681818181818183
1/21/2015,9.333333333333334,15.673758865248226
1/21/2016,17.0,-321.0112359550562
1/21/2017,14.25,40.30120481927711
1/21/2018,18.0,-96.0375939849624
1/21/2019,29.0,-68.26984126984127
1/21/2020,24.0,40.15151515151515
1/21/2021,4.0,8.876404494382022
1/22/2015,12.333333333333334,22.127388535031848
1/22/2016,16.0,18.636363636363637
1/22/2017,6.5,13.950617283950617
1/22/2018,17.333333333333332,-94.67592592592592
1/22/2019,,-155.23622047244095
1/22/2020,75.0,40.825688073394495
1/22/2021,5.625,11.666666666666666
1/23/2015,12.5,17.949640287769785
1/23/2016,15.5,-5.185840707964601
1/23/2017,17.0,23.445945945945947
1/23/2018,19.0,-100.34482758620689
1/23/2019,7.0,-108.16911764705883
1/23/2020,5.0,-30.406779661016948
1/23/2021,8.666666666666666,16.46788990825688
1/24/2015,13.5,31.54255319148936
1/24/2016,15.0,-112.23809523809524
1/24/2017,16.5,29.543478260869566
1/24/2018,10.25,15.062992125984252
1/24/2019,16.5,-93.31914893617021
1/24/2020,38.0,24.64516129032258
1/24/2021,4.0,-33.06666666666667
1/25/2015,16.666666666666668,26.944444444444443
1/25/2016,8.5,5.522222222222222
1/25/2017,4.666666666666667,-17.322580645161292
1/25/2018,12.666666666666666,7.644859813084112
1/25/2019,25.0,-131.3925925925926
1/25/2020,36.333333333333336,-23.75728155339806
1/25/2021,5.25,13.820224719101123
1/26/2015,,13.758620689655173
1/26/2016,21.5,-8.358024691358025
1/26/2017,10.333333333333334,-19.76
1/26/2018,17.5,-61.26315789473684
1/26/2019,23.75,-64.69594594594595
1/26/2020,21.88888888888889,43.26732673267327
1/26/2021,8.0,0.28888888888888886
1/27/2015,19.5,31.31578947368421
1/27/2016,3.8,-39.063291139240505
1/27/2017,26.5,26.53684210526316
1/27/2018,16.285714285714285,15.219354838709677
1/27/2019,11.25,-241.65079365079364
1/27/2020,39.5,-9.102564102564102
