date,SACTMIN,SPOSTMIN
1/1/2015,30.0,-27.625
1/1/2016,10.0,22.972972972972972
1/1/2017,21.0,22.36111111111111
1/1/2018,9.2,-31.86986301369863
1/1/2019,20.8,-146.31034482758622
1/1/2020,22.8,15.281481481481482
1/1/2021,32.3,42.66949152542373
1/10/2015,5.5,24.92105263157895
1/10/2016,20.333333333333332,-168.92708333333334
1/10/2017,2.0,-37.80487804878049
1/10/2018,17.5,8.946153846153846
1/10/2019,17.4,-93.94871794871794
1/10/2020,32.0,33.62244897959184
1/10/2021,21.7,-2.3043478260869565
1/11/2015,11.142857142857142,11.981707317073171
1/11/2016,14.5,29.57831325301205
1/11/2017,20.0,-24.285714285714285
1/11/2018,22.0,-136.85087719298247
1/11/2019,11.2,-249.55633802816902
1/11/2020,16.333333333333332,-595.607476635514
1/11/2021,20.0,36.68478260869565
1/12/2015,3.0,1.3333333333333333
1/12/2016,16.0,-32.526881720430104
1/12/2017,14.0,19.823529411764707
1/12/2018,27.0,-215.97222222222223
1/12/2019,21.666666666666668,-46.392857142857146
1/12/2020,13.125,26.071428571428573
1/12/2021,19.166666666666668,31.704545454545453
1/13/2015,11.875,13.956834532374101
1/13/2016,13.5,6.5
1/13/2017,21.2,27.864077669902912
1/13/2018,18.5,30.431372549019606
1/13/2019,7.875,-114.28346456692914
1/13/2020,15.0,-67.72649572649573
1/13/2021,19.88888888888889,21.666666666666668
1/14/2015,6.0,-4.163934426229508
1/14/2016,23.333333333333332,24.476744186046513
1/14/2017,26.0,-93.38738738738739
1/14/2018,21.5,10.085526315789474
1/14/2019,18.0,-115.79032258064517
1/14/2020,18.25,35.561797752808985
1/14/2021,23.0,22.819148936170212
1/15/2015,13.0,-41.36585365853659
1/15/2016,3.5,-19.10909090909091
1/15/2017,25.285714285714285,-23.3
1/15/2018,24.8,5.404580152671755
1/15/2019,7.5,-183.96031746031747
1/15/2020,15.5,25.4070796460177
1/15/2021,30.22222222222222,40.75268817204301
1/16/2015,21.6,25.21556886227545
1/16/2016,38.5,-150.2109375
1/16/2017,15.166666666666666,27.522935779816514
1/16/2018,25.5,-99.91452991452991
1/16/2019,12.5,-114.94074074074074
1/16/2020,14.2,36.01063829787234
1/16/2021,43.75,29.046296296296298
1/17/2015,23.333333333333332,-9.705128205128204
1/17/2016,8.4,-56.49523809523809
1/17/2017,7.0,22.0
1/17/2018,17.5,-187.66141732283464
1/17/2019,17.5,-43.38620689655173
1/17/2020,40.5,-251.96
1/17/2021,12.5,46.236559139784944
1/18/2015,17.5,18.369791666666668
1/18/2016,21.0,20.775862068965516
1/18/2017,8.75,-2.481132075471698
1/18/2018,21.0,-5.685714285714286
1/18/2019,17.0,-136.5639097744361
1/18/2020,19.0,40.942622950819676
1/18/2021,25.166666666666668,32.395833333333336
1/19/2015,20.0,20.037735849056602
1/19/2016,7.0,-35.84761904761905
1/19/2017,17.666666666666668,16.30952380952381
1/19/2018,22.285714285714285,-92.25
1/19/2019,,-54.62937062937063
1/19/2020,46.666666666666664,-119.89108910891089
1/19/2021,18.75,31.079545454545453
1/2/2015,22.3,36.6
1/2/2016,16.714285714285715,-3.310344827586207
1/2/2017,19.0,30.17543859649123
1/2/2018,34.142857142857146,-9.73248407643312
1/2/2019,38.0,-44.80555555555556
1/2/2020,42.5,55.80357142857143
1/2/2021,32.57142857142857,46.282051282051285
1/20/2015,18.75,28.225806451612904
1/20/2016,8.0,-274.76237623762376
1/20/2017,17.75,20.205479452054796
1/20/2018,33.6,-164.96052631578948
1/20/2019,19.2,-96.57777777777778
1/20/2020,24.75,-28.867768595041323
1/20/2021,10.5,20.113636363636363
1/21/2015,,16.34453781512605
1/21/2016,12.5,20.96590909090909
1/21/2017,21.8,34.827586206896555
1/21/2018,23.0,-209.0431654676259
1/21/2019,15.0,-74.4296875
1/21/2020,21.5,35.4040404040404
1/21/2021,18.5,22.897727272727273
1/22/2015,10.6,19.325757575757574
1/22/2016,3.5,-10.41747572815534
1/22/2017,6.0,9.294871794871796
1/22/2018,39.0,-58.02884615384615
1/22/2019,,-164.92125984251967
1/22/2020,49.0,-84.68867924528301
1/22/2021,37.5,-407.31868131868134
1/23/2015,10.0,14.280821917808218
1/23/2016,26.0,-457.12745098039215
1/23/2017,4.0,16.25
1/23/2018,32.0,-316.78333333333336
1/23/2019,17.25,-67.76428571428572
1/23/2020,22.333333333333332,19.96551724137931
1/23/2021,25.666666666666668,33.7037037037037
1/24/2015,3.6,-8.816091954022989
1/24/2016,9.333333333333334,-259.72072072072075
1/24/2017,12.5,22.608695652173914
1/24/2018,20.0,-174.35714285714286
1/24/2019,12.4,-71.0551724137931
1/24/2020,34.333333333333336,38.01075268817204
1/24/2021,16.571428571428573,28.764044943820224
1/25/2015,22.333333333333332,21.90625
1/25/2016,24.666666666666668,27.272727272727273
1/25/2017,9.8,15.894736842105264
1/25/2018,17.75,-22.443396226415093
1/25/2019,25.0,-133.3065693430657
1/25/2020,25.5,46.63551401869159
1/25/2021,22.25,30.280898876404493
1/26/2015,6.142857142857143,13.75912408759124
1/26/2016,11.2,-126.1
1/26/2017,5.0,13.125
1/26/2018,24.0,-55.735537190082646
1/26/2019,12.6,-63.226027397260275
1/26/2020,24.5,40.95744680851064
1/26/2021,30.5,-44.27956989247312
1/27/2015,16.0,-3.145985401459854
1/27/2016,7.0,7.261904761904762
1/27/2017,14.0,18.9247311827957
1/27/2018,29.6,-14.0062893081761
1/27/2019,3.5,-170.944
1/27/2020,14.0,-129.39837398373984
1/27/2021,16.333333333333332,-102.60227272727273
