date,ride_name,sactmin
1/28/2015,big_thunder_mtn,14
1/28/2015,peter_pan_s_flight,36
1/28/2015,haunted_mansion,12
1/28/2015,space_mountain,9
1/28/2015,7_dwarfs_train,44
1/28/2015,pirates_of_caribbean,14
1/28/2015,it_s_a_small_world,7
1/29/2015,big_thunder_mtn,17
1/29/2015,space_mountain,5
1/29/2015,7_dwarfs_train,17
1/29/2015,it_s_a_small_world,5
1/29/2015,peter_pan_s_flight,27
1/29/2015,pirates_of_caribbean,16
1/29/2015,haunted_mansion,5
1/30/2015,big_thunder_mtn,24
1/30/2015,haunted_mansion,20
1/30/2015,space_mountain,31
1/30/2015,it_s_a_small_world,9
1/30/2015,peter_pan_s_flight,48
1/30/2015,7_dwarfs_train,51
1/31/2015,haunted_mansion,16
1/31/2015,space_mountain,22
1/31/2015,big_thunder_mtn,23
1/31/2015,peter_pan_s_flight,57
1/31/2015,7_dwarfs_train,47
1/31/2015,pirates_of_caribbean,28
1/31/2015,it_s_a_small_world,15
2/1/2015,space_mountain,31
2/1/2015,haunted_mansion,19
2/1/2015,splash_mountain,11
2/1/2015,big_thunder_mtn,12
2/1/2015,peter_pan_s_flight,35
2/1/2015,it_s_a_small_world,6
2/1/2015,7_dwarfs_train,32
2/1/2015,pirates_of_caribbean,13
2/2/2015,pirates_of_caribbean,6
2/2/2015,space_mountain,6
2/2/2015,haunted_mansion,10
2/2/2015,big_thunder_mtn,8
2/2/2015,peter_pan_s_flight,12
2/2/2015,it_s_a_small_world,6
2/2/2015,7_dwarfs_train,28
2/3/2015,it_s_a_small_world,18
2/3/2015,haunted_mansion,16
2/3/2015,splash_mountain,3
2/3/2015,peter_pan_s_flight,8
2/3/2015,pirates_of_caribbean,8
2/3/2015,space_mountain,12
2/3/2015,big_thunder_mtn,10
2/3/2015,7_dwarfs_train,51
2/4/2015,haunted_mansion,13
2/4/2015,big_thunder_mtn,7
2/4/2015,space_mountain,19
2/4/2015,7_dwarfs_train,29
2/4/2015,pirates_of_caribbean,10
2/4/2015,splash_mountain,5
2/4/2015,it_s_a_small_world,8
2/4/2015,peter_pan_s_flight,14
2/5/2015,haunted_mansion,7
2/5/2015,it_s_a_small_world,3
2/5/2015,splash_mountain,3
2/5/2015,big_thunder_mtn,4
2/5/2015,peter_pan_s_flight,35
2/5/2015,7_dwarfs_train,30
2/5/2015,pirates_of_caribbean,3
2/6/2015,haunted_mansion,20
2/6/2015,it_s_a_small_world,13
2/6/2015,big_thunder_mtn,22
2/6/2015,space_mountain,26
2/6/2015,pirates_of_caribbean,19
2/6/2015,splash_mountain,14
2/6/2015,peter_pan_s_flight,43
2/6/2015,7_dwarfs_train,44
2/7/2015,splash_mountain,31
2/7/2015,pirates_of_caribbean,11
2/7/2015,7_dwarfs_train,31
2/7/2015,it_s_a_small_world,9
2/7/2015,big_thunder_mtn,17
2/7/2015,haunted_mansion,12
2/7/2015,space_mountain,21
2/7/2015,peter_pan_s_flight,25
2/8/2015,space_mountain,21
2/8/2015,big_thunder_mtn,5
2/8/2015,peter_pan_s_flight,37
2/8/2015,splash_mountain,15
2/8/2015,haunted_mansion,7
2/8/2015,7_dwarfs_train,35
2/8/2015,pirates_of_caribbean,14
2/8/2015,it_s_a_small_world,8
2/9/2015,7_dwarfs_train,17
2/9/2015,splash_mountain,3
2/9/2015,pirates_of_caribbean,2
2/9/2015,space_mountain,23
2/9/2015,haunted_mansion,8
2/9/2015,big_thunder_mtn,12
2/9/2015,peter_pan_s_flight,21
2/10/2015,space_mountain,11
2/10/2015,7_dwarfs_train,26
2/10/2015,peter_pan_s_flight,20
2/10/2015,pirates_of_caribbean,18
2/10/2015,big_thunder_mtn,25
2/10/2015,it_s_a_small_world,12
2/10/2015,haunted_mansion,28
2/11/2015,haunted_mansion,12
